native-country,precision,recall,fbeta
Cambodia,1.0,0.0,0.0
Canada,0.625,0.7142857142857143,0.6666666666666666
China,1.0,0.5,0.6666666666666666
Columbia,1.0,1.0,1.0
Cuba,1.0,0.0,0.0
Dominican-Republic,1.0,1.0,1.0
Ecuador,1.0,1.0,1.0
El-Salvador,1.0,1.0,1.0
England,0.6,0.75,0.6666666666666665
France,0.6666666666666666,0.6666666666666666,0.6666666666666666
Germany,0.6,0.2727272727272727,0.37499999999999994
Greece,1.0,0.3333333333333333,0.5
Guatemala,1.0,1.0,1.0
Haiti,1.0,1.0,1.0
Honduras,1.0,1.0,1.0
Hong,1.0,0.6666666666666666,0.8
Hungary,1.0,0.0,0.0
India,0.75,0.6666666666666666,0.7058823529411765
Iran,1.0,1.0,1.0
Ireland,1.0,1.0,1.0
Italy,0.7142857142857143,0.8333333333333334,0.7692307692307692
Jamaica,1.0,1.0,1.0
Japan,0.3333333333333333,0.3333333333333333,0.3333333333333333
Laos,1.0,1.0,1.0
Mexico,1.0,0.375,0.5454545454545454
Nicaragua,1.0,1.0,1.0
Outlying-US(Guam-USVI-etc),1.0,1.0,1.0
Peru,1.0,1.0,1.0
Philippines,0.7777777777777778,0.6363636363636364,0.7000000000000001
Poland,1.0,0.75,0.8571428571428571
Portugal,1.0,0.0,0.0
Puerto-Rico,1.0,0.5714285714285714,0.7272727272727273
Scotland,1.0,1.0,1.0
South,1.0,0.3333333333333333,0.5
Taiwan,1.0,1.0,1.0
Thailand,1.0,0.0,0.0
Trinadad&Tobago,1.0,1.0,1.0
United-States,0.7695542472666106,0.6443661971830986,0.701418167880414
Vietnam,1.0,1.0,1.0
Yugoslavia,1.0,1.0,1.0
np.nan,0.5416666666666666,0.6190476190476191,0.5777777777777778
